User nb,method,density,targets Size,time to select,selected
1,Rope,60,6,1.3389842510223389,1
1,Rope,60,6,0.5458576679229736,1
1,Rope,60,6,0.9322512149810791,0
1,Rope,60,6,0.5472366809844971,1
1,Rope,60,6,2.580193519592285,1
1,Highlight,60,12,0.8920090198516846,0
1,Highlight,60,12,0.35117244720458984,1
1,Highlight,60,12,1.0427722930908203,1
1,Highlight,60,12,0.891960859298706,1
1,Highlight,60,12,0.9197163581848145,1
1,Highlight,60,12,1.538532018661499,1
1,Bubble,60,12,1.0897810459136963,1
1,Bubble,60,12,0.7104015350341797,1
1,Bubble,60,12,0.7156786918640137,1
1,Bubble,60,12,2.181509017944336,1
1,Bubble,60,12,0.6417262554168701,1
1,Rope,60,12,0.8850572109222412,1
1,Rope,60,12,0.5428287982940674,1
1,Rope,60,12,1.004201889038086,1
1,Rope,60,12,0.49187469482421875,1
1,Rope,60,12,0.548041820526123,0
1,Rope,60,12,0.39186596870422363,1
1,Highlight,60,18,1.1094534397125244,1
1,Highlight,60,18,1.383218765258789,0
1,Highlight,60,18,0.7397677898406982,0
1,Highlight,60,18,0.45825767517089844,0
1,Highlight,60,18,0.38891172409057617,1
1,Highlight,60,18,1.406623125076294,1
1,Highlight,60,18,0.8466904163360596,1
1,Highlight,60,18,1.459266185760498,1
1,Bubble,60,18,0.9853758811950684,1
1,Bubble,60,18,0.5779876708984375,1
1,Bubble,60,18,0.8667435646057129,1
1,Bubble,60,18,1.0021452903747559,1
1,Bubble,60,18,0.7320842742919922,1
1,Rope,60,18,1.2734475135803223,1
1,Rope,60,18,1.0899693965911865,0
1,Rope,60,18,0.47029900550842285,1
1,Rope,60,18,0.5361473560333252,1
1,Rope,60,18,0.7370796203613281,1
1,Rope,60,18,1.056666612625122,1
1,Highlight,90,6,1.7400009632110596,0
1,Highlight,90,6,1.499204158782959,1
1,Highlight,90,6,1.4458229541778564,1
1,Highlight,90,6,1.928633689880371,0
1,Highlight,90,6,1.340073585510254,0
1,Highlight,90,6,0.4342172145843506,1
1,Highlight,90,6,2.3930139541625977,1
1,Highlight,90,6,1.8529808521270752,1
1,Highlight,90,12,1.37778639793396,0
1,Highlight,90,12,0.96390700340271,1
1,Highlight,90,12,1.4043326377868652,1
1,Highlight,90,12,0.9970591068267822,1
1,Highlight,90,12,1.3102002143859863,0
1,Highlight,90,12,0.3927919864654541,1
1,Highlight,90,12,1.141822099685669,1
1,Highlight,90,18,1.143465518951416,1
1,Highlight,90,18,0.986889123916626,1
1,Highlight,90,18,0.9482316970825195,1
1,Highlight,90,18,1.2369132041931152,0
1,Highlight,90,18,0.2972593307495117,0
1,Highlight,90,18,0.3697335720062256,1
1,Highlight,90,18,1.131676435470581,1
1,Bubble,90,6,1.057330846786499,1
1,Bubble,90,6,1.7541327476501465,1
1,Bubble,90,6,0.8755865097045898,1
1,Bubble,90,6,3.213294506072998,1
1,Bubble,90,6,1.494971513748169,1
1,Bubble,90,12,1.93280029296875,1
1,Bubble,90,12,0.773801326751709,1
1,Bubble,90,12,2.6730685234069824,1
1,Bubble,90,12,1.2877097129821777,1
1,Bubble,90,12,1.0473949909210205,1
1,Bubble,90,18,0.9676885604858398,1
1,Bubble,90,18,0.6069445610046387,1
1,Bubble,90,18,0.9964516162872314,1
1,Bubble,90,18,1.5037753582000732,1
1,Bubble,90,18,1.2115859985351562,1
1,Rope,90,6,4.2792322635650635,0
1,Rope,90,6,5.710066556930542,1
1,Rope,90,6,1.739039421081543,1
1,Rope,90,6,1.235541582107544,1
1,Rope,90,6,1.353606939315796,1
